grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
4	579	票	11	ballot	hyō	
4	580	種	14	species; seed	shu	tane
4	581	積	16	accumulate; pile	seki	tsu-mu
4	582	競	20	emulate	kyō	kiso-u
4	583	笑	10	laugh	shō	wara-u
4	584	管	14	pipe	kan	kuda
4	585	節	13	node	setsu	fushi
4	586	粉	10	flour	fun	ko, kona
4	587	紀	9	chronicle	ki	
4	588	約	9	promise	yaku	
4	589	結	12	tie	ketsu	musu-bu, yu-u
4	590	給	12	salary	kyū	tama-u
4	591	続	13	continue	zoku	tsuzu-ku
4	592	置	13	put	chi	o-ku
4	593	老	6	old man	rō	o-iru
4	594	胃	9	stomach	i	
4	595	脈	10	vein	myaku	
4	596	腸	13	intestines	chō	harawata
4	597	臣	7	retainer	shin	
4	598	航	10	cruise	kō	
4	599	良	7	good	ryō	yo-i
4	600	芸	7	art	gei	
4	601	芽	8	bud	ga	me
4	602	英	8	England	ei	
4	603	菜	11	vegetable	sai	na
4	604	街	12	street, city	gai	machi
4	605	衣	6	garment	i	koromo
4	606	要	9	need	yō	i-ru
4	607	覚	12	memorize	kaku	obo-eru, sa-meru
4	608	観	18	observe	kan	mi-ru
4	609	訓	10	instruction	kun	
4	610	試	13	test	shi	kokoro-miru, tame-su
4	611	説	14	theory	setsu	to-ku
4	612	課	15	section	ka	
4	613	議	20	deliberation	gi	
4	614	象	12	elephant; figure	zō, shō	
4	615	貨	11	currency; cargo	ka	
4	616	貯	12	savings	cho	ta-meru
4	617	費	12	expense	hi	tsui-yasu
4	618	賞	15	prize	shō	
4	619	軍	9	army	gun	
4	620	輪	15	wheel	rin	wa
4	621	辞	13	resign; speech; encyclopedia	ji	kotoba, ya-meru
4	622	辺	5	environs	hen	ata-ri
4	623	連	10	take along	ren	tsu-reru, tsura-neru
4	624	達	12	attain	tatsu	tachi
4	625	選	15	choose	sen	era-bu
4	626	郡	10	county	gun	
4	627	量	12	quantity	ryō	
4	628	録	16	transcript	roku	
4	629	鏡	19	mirror	kyō	kagami
4	630	関	14	related	kan	seki
4	631	陸	11	land	riku	
4	632	隊	12	squad	tai	
4	633	静	14	quiet	sei	shizu-ka
